Designator,Footprint,Quantity,Value,IN Cart
"C1, C10, C12, C14, C15, C16, C17, C18, C19, C2, C20, C23",402,12,100nF,+
"C11, C13",402,2,1uF,+
"C21, C22",402,2,15pF,+
"C24, C25",402,2,10uF,+
C26,402,1,1nF,+
C27,402,1,39pF,+
"C28, C29",402,2,3.3pF,+
C3,402,1,470nF,+
C4,402,1,47pF,+
C5,402,1,47nF,+
D1,402,1,GREEN,+
D2,402,1,RED,+
D3,402,1,BLUE,+
FB1,402,1,BLM15AX102SN1D,+
FL1,0900FM15K0039001E_JOT,1,0900FM15K0039001E,+
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,+
J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,+
L1,402,1,15uH,+
L2,402,1,47nH,+
L4,402,1,9.1nH,+
"R10, R11, R9",402,3,400,+
R12,402,1,100,+
R2,402,1,10k,+
"R3, R4",402,2,"27,4",+
"R5, R6",402,2,1k,+
"R7, R8",402,2,5.1k,+
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,+
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SQPI,+
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,+
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,+
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,+
U5,SOT-23-5,1,AP2112K-3.3,+
U6,SOT-363_SC-70-6,1,PE4259,+
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,+
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,+
